Slide,Title,Content
1,Title,"Taminator | RFE & Bug Report Generator for Red Hat TAMs | Demo — [Your name] — [Date]"
2,What is Taminator?,"Generates and maintains RFE and bug reports for Red Hat TAMs | Uses JIRA and case data → consistent markdown reports | Can post to customer portal groups | Saves 2–3 hours per customer per week vs manual tracking"
3,How to get it,"Desktop app: Download AppImage (Linux) or DMG (macOS) from GitLab releases — double-click to run | From repo: git clone for CLI or development | Official: gitlab.cee.redhat.com/jbyrd/taminator (Red Hat VPN required)"
4,No terminal required,"Double-click the app; it opens in its own window | Full UI: Report Manager • Check/Update • Library • Settings • User Guide | Linux: AppImage | macOS: DMG (Intel + Apple Silicon) | Windows: installer"
5,Core workflow,"1. Create a report (Report Manager — add account • SBR Group • account numbers) | 2. Check report — compare to JIRA (no file changes) | 3. Update report — write current JIRA statuses into file (backup first) | 4. Post (optional) — post to customer portal group"
6,JIRA: Red Hat + Cloud,"Red Hat JIRA (default): issues.redhat.com — Personal Access Token | JIRA Cloud: e.g. your-tenant.atlassian.net — Email + API token (id.atlassian.com) | Set in Settings → Token configuration → JIRA instance | Same Check/Update flow for both"
7,Security & credentials,"Tokens in ~/.config/taminator/ui_tokens.json (encoded) | Optional: HashiCorp Vault — VAULT_ADDR + VAULT_TOKEN; tokens sync when saved | VPN required for Red Hat JIRA (skipped for JIRA Cloud)"
8,Demo outline,"1. Open Taminator (desktop app) | 2. Report Manager — report creation / accounts | 3. Check/Update Reports — run Check or Update | 4. Library — browse reports | 5. Settings — VPN • tokens | 6. User Guide — in-app docs"
9,Links & feedback,"Releases: gitlab.cee.redhat.com/jbyrd/taminator/-/releases | User guide: repo README | Issues: gitlab.cee.redhat.com/jbyrd/taminator/-/issues"
10,Q&A,"Questions? | Taminator — RFE and Bug Report Generator for Red Hat TAMs"
